id,detalle,precio
2132010906,ELASTIC FOAM POLIALGODON,"S/.1.445,00"
2843A5,FIAMMA IGNIFUGO,"S/.1.445,00"
284210,AYLLU URPI,"S/.1.170,00"
267396,OMEGA PT,"S/.1.445,00"
2114020101,BACK THERAPY,"S/.810,00"
2115021501,DRIMER ACTIBIO,"S/.1.440,00"
2117020101,BACK THERAPY,"S/.2.260,00"
267454,PT,"S/.1.995,00"
267221,BARI,"S/.950,00"
458343,DRIMER ZENTRIX,"S/.1.440,00"
26559M,SOYA,"S/.1.435,00"
2111023701,TERRA COTTON,"S/.595,00"
267521,BARI,"S/.2.640,00"
2844S5,SIMMONS WORLD CLASS PT JAELYN LUX FIRM,"S/.1.995,00"
267326,FLORENCIA,"S/.1.435,00"
2914010004,BAVENO,"S/.1.020,00"
2843B6,POCKET ANTISTRESS,"S/.1.435,00"
267205,BELLISIMA AKTUAL,"S/.1.190,00"
284308,WARI VICUS,"S/.1.435,00"
4125041301,SIMMONS HARMONY HILTON,"S/.1.430,00"
267505,BELLISIMA AKTUAL,"S/.2.405,00"
2146020201,ESENCIA,"S/.1.990,00"
284350,AERO AIRFRESH,"S/.1.430,00"
2114030101,BREEZE,"S/.950,00"
458322,SIMMONS BEAUTY SLEEP - PLUSH,"S/.1.430,00"
458205,CIC PILOU,"S/.810,00"
284393,TECHNODREAM OZONO,"S/.1.425,00"
284218,CONTINENTAL ACQUA REPOSE,"S/.1.100,00"
2843B5,VISCO ANTISTRESS,"S/.1.425,00"
284215,CONTINENTAL LORD REPOSE,"S/.1.050,00"
2145020201,ESENCIA,"S/.1.420,00"
284402,POCKET RAICES CARAL,"S/.1.990,00"
284216,CONTINENTAL REAL REPOSE,"S/.1.220,00"
2125040791,SIMMONS BEAUTYREST RECHARGE PT,"S/.1.420,00"
2845160000,CONTINENTAL REAL REPOSE,"S/.2.280,00"
458426,SIMMONS BEAUTY REST - RECHARGE,"S/.1.990,00"
284217,CONTINENTAL REPOSE,"S/.860,00"
2845170000,CONTINENTAL REPOSE,"S/.2.520,00"
2126040891,SIMMONS BEAUTYREST WORLD CLASS,"S/.1.985,00"
284214,CONTINENTAL SIR REPOSE,"S/.1.250,00"
284315,CONTINENTAL LORD REPOSE,"S/.1.420,00"
2114030201,COOL,"S/.1.120,00"
2115030201,COOL,"S/.1.420,00"
458431,SIMMONS BEAUTYREST HYDE PFIBRA PLUSH,"S/.1.985,00"
267256,DESPERTARES,"S/.930,00"
2125024801,DRIMER LATEX TENCEL,"S/.1.420,00"
267556,DESPERTARES,"S/.2.225,00"
2116020501,4 ESTRELLAS,"S/.1.980,00"
2115030501,NEO,"S/.1.420,00"
458202,DI BIANCO,"S/.1.210,00"
267378,FIRENZE COOL MAX PT,"S/.1.415,00"
2125021091,AERO AIRFRESH,"S/.1.410,00"
213027,DI BIANCO VARIOS,"S/.880,00"
2843960002,DRIMER GALAXY,"S/.1.410,00"
267211,DISNEY MICKEY,"S/.1.280,00"
267213,DISNEY POWER RANGER,"S/.800,00"
267214,DISNEY PRINCESITAS,"S/.1.170,00"
